question,answer,educationLevel,gender,hispanicOrLatino,incomeLevel,lgbtq,livingSituation,occupation,pet,politicalAffiliation,race,religion,school,state
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Homeowner,Student,"Yes,Dog",Moderate,Black or African American,Christianity,"University of California, Riverside (UCR)",Tennessee
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Conservative,White,Christianity,Tulane University,Illinois
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Slightly Liberal,White,Not Religious,"University of California, San Diego (UCSD)",Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Slightly Liberal,White,Not Religious,"University of California, Davis (UCD)",Florida
What social media app do you doom scroll on the most?,Other,Bachelor's Degree,Male,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Not Religious,Harvard University,Florida
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),No Pets,Slightly Liberal,White,Not Religious,Drexel University,South Carolina
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,University at Albany SUNY,Arizona
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Conservative,White,Not Religious,"Binghamton University, SUNY",Pennsylvania
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Not Religious,Washington University in St. Louis,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes, Dog",Moderate,White,Christianity,"University of California, Davis (UCD)",New Jersey
