question,answer,educationLevel,gender,hispanicOrLatino,incomeLevel,lgbtq,livingSituation,occupation,pet,politicalAffiliation,race,religion,school,state
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Homeowner,Student,"Yes,Dog",Slightly Liberal,White,Judaism,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Judaism,Tulane University Of Louisiana,Texas
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Christianity,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Christianity,Vanderbilt University,California
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),Yes. Both,Slightly Conservative,Asian,Not Religious,Duke University,Wisconsin
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Lessee,Student,"Yes, Cat",Slightly Liberal,White,Christianity,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),Yes. Both,Very Liberal,Asian,Judaism,Vanderbilt University,California
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),Yes. Both,Slightly Liberal,White,Not Religious,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,Vanderbilt University,Alabama
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,Vanderbilt University ,Massachusetts
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,Asian,Christianity,Vanderbilt University,Connecticut
